Target1,Target2,Mean
comp.sys.mac.hardware,rec.motorcycles,6.635885382000592e-07
comp.sys.mac.hardware,rec.sport.baseball,6.089583236665134e-07
comp.sys.mac.hardware,rec.sport.hockey,5.799125638414952e-07
comp.sys.mac.hardware,sci.crypt,8.220222466862668e-07
comp.sys.mac.hardware,sci.electronics,8.4713152158406e-07
comp.sys.mac.hardware,sci.med,6.344814478235025e-07
comp.sys.mac.hardware,sci.space,6.726050157998942e-07
comp.sys.mac.hardware,soc.religion.christian,6.087677574400144e-07
comp.sys.mac.hardware,talk.politics.guns,7.02666372911727e-07
comp.sys.mac.hardware,talk.politics.mideast,5.685186132340453e-07
comp.sys.mac.hardware,talk.politics.misc,6.77323159262595e-07
comp.sys.mac.hardware,talk.religion.misc,6.225803517492657e-07
comp.windows.x,alt.atheism,5.912937258244884e-07
comp.windows.x,comp.graphics,9.439721498130342e-07
comp.windows.x,comp.os.ms-windows.misc,1.2057284611244676e-06
comp.windows.x,comp.sys.ibm.pc.hardware,8.007589738994147e-07
comp.windows.x,comp.sys.mac.hardware,7.343656539310022e-07
comp.windows.x,comp.windows.x,1.5479903880851451e-06
comp.windows.x,misc.forsale,6.072326694752213e-07
comp.windows.x,rec.autos,5.879570077685696e-07
comp.windows.x,rec.motorcycles,5.596304941848855e-07
comp.windows.x,rec.sport.baseball,5.255593524844252e-07
comp.windows.x,rec.sport.hockey,4.830264509497392e-07
comp.windows.x,sci.crypt,8.063815166947469e-07
comp.windows.x,sci.electronics,6.755113127624136e-07
comp.windows.x,sci.med,5.74780669406522e-07
comp.windows.x,sci.space,6.322767825307643e-07
comp.windows.x,soc.religion.christian,5.564641121272752e-07
comp.windows.x,talk.politics.guns,6.044292556939145e-07
comp.windows.x,talk.politics.mideast,5.066788547910252e-07
comp.windows.x,talk.politics.misc,5.896499484285784e-07
comp.windows.x,talk.religion.misc,5.647246410289011e-07
misc.forsale,alt.atheism,4.925663145858361e-07
misc.forsale,comp.graphics,6.830868246946683e-07
misc.forsale,comp.os.ms-windows.misc,7.236078327918764e-07
misc.forsale,comp.sys.ibm.pc.hardware,9.414416572272802e-07
misc.forsale,comp.sys.mac.hardware,8.646189862051522e-07
misc.forsale,comp.windows.x,6.072326694752211e-07
misc.forsale,misc.forsale,1.5188186264829026e-06
misc.forsale,rec.autos,7.283783025887551e-07
misc.forsale,rec.motorcycles,6.27835010324929e-07
misc.forsale,rec.sport.baseball,6.099859770888665e-07
misc.forsale,rec.sport.hockey,6.051065631447132e-07
misc.forsale,sci.crypt,6.733731282534071e-07
misc.forsale,sci.electronics,7.394749918425076e-07
misc.forsale,sci.med,5.199020919258115e-07
misc.forsale,sci.space,5.89889035405115e-07
misc.forsale,soc.religion.christian,4.790281504345913e-07
misc.forsale,talk.politics.guns,6.112681485944119e-07
misc.forsale,talk.politics.mideast,4.76081950840383e-07
misc.forsale,talk.politics.misc,6.061961671302828e-07
misc.forsale,talk.religion.misc,5.13129193520409e-07
rec.autos,alt.atheism,7.730803541899905e-07
rec.autos,comp.graphics,6.24883264328818e-07
rec.autos,comp.os.ms-windows.misc,6.576957579498927e-07
rec.autos,comp.sys.ibm.pc.hardware,7.195394319341747e-07
rec.autos,comp.sys.mac.hardware,7.345167120019776e-07
rec.autos,comp.windows.x,5.879570077685696e-07
rec.autos,misc.forsale,7.283783025887551e-07
rec.autos,rec.autos,1.693074003861409e-06
rec.autos,rec.motorcycles,9.284154866102211e-07
rec.autos,rec.sport.baseball,7.141022319361072e-07
rec.autos,rec.sport.hockey,6.837677479774931e-07
rec.autos,sci.crypt,8.221060437043044e-07
rec.autos,sci.electronics,7.913526167359716e-07
rec.autos,sci.med,6.893298582335717e-07
rec.autos,sci.space,7.543793882320572e-07
rec.autos,soc.religion.christian,7.328155427562267e-07
rec.autos,talk.politics.guns,9.15267333159424e-07
rec.autos,talk.politics.mideast,6.937751714172014e-07
rec.autos,talk.politics.misc,8.519855028601777e-07
rec.autos,talk.religion.misc,7.452784528774985e-07
rec.motorcycles,alt.atheism,7.462931681634954e-07
rec.motorcycles,comp.graphics,5.903696037533978e-07
rec.motorcycles,comp.os.ms-windows.misc,5.9756216815869e-07
rec.motorcycles,comp.sys.ibm.pc.hardware,6.472930694618861e-07
rec.motorcycles,comp.sys.mac.hardware,6.635885382000592e-07
rec.motorcycles,comp.windows.x,5.596304941848857e-07
rec.motorcycles,misc.forsale,6.278350103249289e-07
rec.motorcycles,rec.autos,9.284154866102209e-07
rec.motorcycles,rec.motorcycles,1.6364878863835357e-06
rec.motorcycles,rec.sport.baseball,7.067081765128012e-07
rec.motorcycles,rec.sport.hockey,6.712615887834276e-07
rec.motorcycles,sci.crypt,7.564243109211268e-07
rec.motorcycles,sci.electronics,6.813730052190486e-07
rec.motorcycles,sci.med,6.674804397439688e-07
rec.motorcycles,sci.space,6.993712758434484e-07
rec.motorcycles,soc.religion.christian,6.915307593931752e-07
rec.motorcycles,talk.politics.guns,8.376676549091125e-07
