Target1,Target2,Mean
comp.windows.x,rec.motorcycles,0.011717519343676793
comp.windows.x,rec.sport.baseball,0.01101580791093409
comp.windows.x,rec.sport.hockey,0.010153756959330715
comp.windows.x,sci.crypt,0.01688436757747588
comp.windows.x,sci.electronics,0.01414845342737052
comp.windows.x,sci.med,0.012041932047074965
comp.windows.x,sci.space,0.013297952059740435
comp.windows.x,soc.religion.christian,0.01171077036967532
comp.windows.x,talk.politics.guns,0.012722337504939688
comp.windows.x,talk.politics.mideast,0.01069032209425497
comp.windows.x,talk.politics.misc,0.01248708211902206
comp.windows.x,talk.religion.misc,0.01194755225278752
misc.forsale,alt.atheism,0.010426253371397855
misc.forsale,comp.graphics,0.014399980125252978
misc.forsale,comp.os.ms-windows.misc,0.015222064830934969
misc.forsale,comp.sys.ibm.pc.hardware,0.019613650552885283
misc.forsale,comp.sys.mac.hardware,0.018116367364229325
misc.forsale,comp.windows.x,0.01273129739533454
misc.forsale,misc.forsale,0.032012268460261464
misc.forsale,rec.autos,0.015211793090239853
misc.forsale,rec.motorcycles,0.013234149143575742
misc.forsale,rec.sport.baseball,0.012814978630133006
misc.forsale,rec.sport.hockey,0.0126874658080905
misc.forsale,sci.crypt,0.014170637592091797
misc.forsale,sci.electronics,0.015394386132497008
misc.forsale,sci.med,0.010904594891765151
misc.forsale,sci.space,0.012492262470105216
misc.forsale,soc.religion.christian,0.010135531084640631
misc.forsale,talk.politics.guns,0.012789728619169898
misc.forsale,talk.politics.mideast,0.010055295879641145
misc.forsale,talk.politics.misc,0.012700289570216405
misc.forsale,talk.religion.misc,0.010795588944616281
rec.autos,alt.atheism,0.016218821417325658
rec.autos,comp.graphics,0.013129980418731197
rec.autos,comp.os.ms-windows.misc,0.01381474004596614
rec.autos,comp.sys.ibm.pc.hardware,0.015198539010602615
rec.autos,comp.sys.mac.hardware,0.015435234740819238
rec.autos,comp.windows.x,0.012378064294063865
rec.autos,misc.forsale,0.015211793090239853
rec.autos,rec.autos,0.03633853852846066
rec.autos,rec.motorcycles,0.019314247337722155
rec.autos,rec.sport.baseball,0.015051080157755225
rec.autos,rec.sport.hockey,0.014320413696542545
rec.autos,sci.crypt,0.017274115374449135
rec.autos,sci.electronics,0.016325360658192897
rec.autos,sci.med,0.014471485791258865
rec.autos,sci.space,0.01576625539764808
rec.autos,soc.religion.christian,0.01545129118288206
rec.autos,talk.politics.guns,0.019218768044234537
rec.autos,talk.politics.mideast,0.014623697733835072
rec.autos,talk.politics.misc,0.01788823595037697
rec.autos,talk.religion.misc,0.015752828006688934
rec.motorcycles,alt.atheism,0.015657666746912078
rec.motorcycles,comp.graphics,0.012441329533699195
rec.motorcycles,comp.os.ms-windows.misc,0.012550987980035207
rec.motorcycles,comp.sys.ibm.pc.hardware,0.013617829395352776
rec.motorcycles,comp.sys.mac.hardware,0.013964291458745708
rec.motorcycles,comp.windows.x,0.011717519343676795
rec.motorcycles,misc.forsale,0.013234149143575739
rec.motorcycles,rec.autos,0.019314247337722152
rec.motorcycles,rec.motorcycles,0.0348838448336438
rec.motorcycles,rec.sport.baseball,0.014730644471246003
rec.motorcycles,rec.sport.hockey,0.014084931722325167
rec.motorcycles,sci.crypt,0.0158644741106888
rec.motorcycles,sci.electronics,0.014276682822341642
rec.motorcycles,sci.med,0.01394487307625198
rec.motorcycles,sci.space,0.014651496348110863
rec.motorcycles,soc.religion.christian,0.014594803579475419
rec.motorcycles,talk.politics.guns,0.017595410529455305
rec.motorcycles,talk.politics.mideast,0.013689895103696382
rec.motorcycles,talk.politics.misc,0.016721152594576114
rec.motorcycles,talk.religion.misc,0.014952179836207466
rec.sport.baseball,alt.atheism,0.015536553276418435
rec.sport.baseball,comp.graphics,0.011971295634266407
rec.sport.baseball,comp.os.ms-windows.misc,0.012038088338624787
rec.sport.baseball,comp.sys.ibm.pc.hardware,0.012464130508236084
rec.sport.baseball,comp.sys.mac.hardware,0.01279709766161909
rec.sport.baseball,comp.windows.x,0.01101580791093409
rec.sport.baseball,misc.forsale,0.012814978630133006
rec.sport.baseball,rec.autos,0.015051080157755218
rec.sport.baseball,rec.motorcycles,0.014730644471246005
rec.sport.baseball,rec.sport.baseball,0.036965225054985264
rec.sport.baseball,rec.sport.hockey,0.0261910382621997
rec.sport.baseball,sci.crypt,0.015008561159077526
rec.sport.baseball,sci.electronics,0.013199658338459166
rec.sport.baseball,sci.med,0.013610200691833328
rec.sport.baseball,sci.space,0.014392603310721114
rec.sport.baseball,soc.religion.christian,0.014720945424469075
rec.sport.baseball,talk.politics.guns,0.017015652490243314
rec.sport.baseball,talk.politics.mideast,0.014193789067897745
